TrueDistance,PredictedDistance,RSSI,Class
0.10,0.34,-37.41,Near
0.10,0.34,-37.35,Near
0.10,0.34,-37.42,Near
0.10,0.34,-37.48,Near
0.10,0.34,-37.38,Near
0.10,0.34,-37.37,Near
0.10,0.34,-37.43,Near
0.10,0.34,-37.37,Near
0.10,0.33,-37.28,Near
0.10,0.33,-37.27,Near
0.10,0.34,-37.34,Near
0.10,0.33,-37.24,Near
0.10,0.33,-37.27,Near
0.10,0.34,-37.34,Near
0.10,0.33,-37.29,Near
0.10,0.33,-37.28,Near
0.10,0.33,-37.31,Near
0.10,0.34,-37.37,Near
0.10,0.33,-37.28,Near
0.10,0.33,-37.31,Near
0.10,0.34,-37.38,Near
0.10,0.34,-37.44,Near
0.10,0.34,-37.38,Near
0.10,0.34,-37.41,Near
0.10,0.34,-37.47,Near
0.10,0.34,-37.41,Near
0.10,0.34,-37.36,Near
0.10,0.34,-37.38,Near
0.10,0.34,-37.45,Near
0.10,0.34,-37.35,Near
0.10,0.34,-37.33,Near
0.10,0.34,-37.36,Near
0.10,0.34,-37.43,Near
0.10,0.34,-37.33,Near
0.10,0.33,-37.32,Near
0.10,0.34,-37.38,Near
0.10,0.34,-37.37,Near
0.10,0.34,-37.43,Near
0.10,0.34,-37.38,Near
0.10,0.33,-37.32,Near
0.10,0.33,-37.27,Near
0.10,0.34,-37.34,Near
0.10,0.33,-37.28,Near
0.10,0.33,-37.31,Near
0.10,0.34,-37.34,Near
0.10,0.34,-37.45,Near
0.10,0.34,-37.39,Near
0.10,0.34,-37.37,Near
0.10,0.34,-37.44,Near
0.10,0.34,-37.38,Near
0.10,0.34,-37.37,Near
0.10,0.34,-37.43,Near
0.10,0.34,-37.37,Near
0.10,0.34,-37.36,Near
0.10,0.34,-37.42,Near
0.10,0.34,-37.41,Near
0.10,0.34,-37.39,Near
0.10,0.34,-37.42,Near
0.10,0.34,-37.36,Near
0.10,0.34,-37.42,Near
0.10,0.34,-37.49,Near
0.10,0.34,-37.43,Near
0.10,0.34,-37.45,Near
0.10,0.34,-37.51,Near
0.10,0.34,-37.45,Near
0.10,0.34,-37.43,Near
0.10,0.34,-37.50,Near
0.10,0.34,-37.44,Near
0.10,0.34,-37.42,Near
0.10,0.34,-37.48,Near
0.10,0.34,-37.38,Near
0.10,0.34,-37.33,Near
0.10,0.34,-37.40,Near
0.10,0.34,-37.46,Near
0.10,0.34,-37.40,Near
0.10,0.34,-37.46,Near
0.10,0.34,-37.41,Near
0.10,0.34,-37.39,Near
0.10,0.34,-37.45,Near
0.10,0.34,-37.40,Near
0.10,0.34,-37.42,Near
0.10,0.34,-37.44,Near
0.10,0.34,-37.51,Near
0.10,0.34,-37.45,Near
0.10,0.34,-37.43,Near
0.10,0.34,-37.49,Near
0.10,0.34,-37.59,Near
0.10,0.34,-37.49,Near
0.10,0.34,-37.47,Near
0.10,0.34,-37.53,Near
0.10,0.34,-37.43,Near
0.10,0.34,-37.37,Near
0.10,0.34,-37.36,Near
0.10,0.34,-37.42,Near
0.10,0.34,-37.37,Near
0.10,0.33,-37.31,Near
0.10,0.33,-37.30,Near
0.10,0.34,-37.37,Near
0.10,0.33,-37.31,Near
0.10,0.33,-37.30,Near
0.20,0.34,-37.60,Near
0.20,0.35,-37.70,Near
0.20,0.35,-37.71,Near
0.20,0.35,-37.72,Near
0.20,0.35,-37.85,Near
0.20,0.35,-37.86,Near
0.20,0.35,-37.75,Near
0.20,0.34,-37.60,Near
0.20,0.35,-37.73,Near
0.20,0.35,-37.74,Near
0.20,0.34,-37.63,Near
0.20,0.35,-37.73,Near
0.20,0.35,-37.82,Near
0.20,0.35,-37.83,Near
0.20,0.35,-37.71,Near
0.20,0.35,-37.72,Near
0.20,0.35,-37.74,Near
0.20,0.34,-37.59,Near
0.20,0.35,-37.68,Near
0.20,0.35,-37.70,Near
0.20,0.34,-37.55,Near
0.20,0.34,-37.45,Near
0.20,0.34,-37.59,Near
0.20,0.34,-37.60,Near
0.20,0.34,-37.50,Near
0.20,0.34,-37.60,Near
0.20,0.35,-37.70,Near
0.20,0.35,-37.71,Near
0.20,0.34,-37.56,Near
0.20,0.35,-37.66,Near
0.20,0.35,-37.67,Near
0.20,0.35,-37.68,Near
0.20,0.34,-37.58,Near
0.20,0.35,-37.71,Near
0.20,0.35,-37.73,Near
0.20,0.34,-37.62,Near
0.20,0.34,-37.51,Near
0.20,0.34,-37.61,Near
0.20,0.34,-37.63,Near
0.20,0.35,-37.72,Near
0.20,0.35,-37.81,Near
0.20,0.35,-37.82,Near
0.20,0.35,-37.67,Near
0.20,0.35,-37.76,Near
0.20,0.35,-37.73,Near
0.20,0.35,-37.74,Near
0.20,0.34,-37.63,Near
0.20,0.35,-37.65,Near
0.20,0.34,-37.54,Near
0.20,0.35,-37.68,Near
0.20,0.35,-37.65,Near
0.20,0.34,-37.51,Near
