TrueDistance,PredictedDistance,RSSI
0.10,0.3251,-37.41
0.10,0.3201,-37.35
0.10,0.3259,-37.42
0.10,0.3308,-37.48
0.10,0.3226,-37.38
0.10,0.3218,-37.37
0.10,0.3267,-37.43
0.10,0.3218,-37.37
0.10,0.3144,-37.28
0.10,0.3135,-37.27
0.10,0.3193,-37.34
0.10,0.3111,-37.24
0.10,0.3135,-37.27
0.10,0.3193,-37.34
0.10,0.3152,-37.29
0.10,0.3144,-37.28
0.10,0.3168,-37.31
0.10,0.3218,-37.37
0.10,0.3144,-37.28
0.10,0.3168,-37.31
0.10,0.3226,-37.38
0.10,0.3275,-37.44
0.10,0.3226,-37.38
0.10,0.3251,-37.41
0.10,0.3300,-37.47
0.10,0.3251,-37.41
0.10,0.3209,-37.36
0.10,0.3226,-37.38
0.10,0.3284,-37.45
0.10,0.3201,-37.35
0.10,0.3185,-37.33
0.10,0.3209,-37.36
0.10,0.3267,-37.43
0.10,0.3185,-37.33
0.10,0.3177,-37.32
0.10,0.3226,-37.38
0.10,0.3218,-37.37
0.10,0.3267,-37.43
0.10,0.3226,-37.38
0.10,0.3177,-37.32
0.10,0.3135,-37.27
0.10,0.3193,-37.34
0.10,0.3144,-37.28
0.10,0.3168,-37.31
0.10,0.3193,-37.34
0.10,0.3284,-37.45
0.10,0.3234,-37.39
0.10,0.3218,-37.37
0.10,0.3275,-37.44
0.10,0.3226,-37.38
0.10,0.3218,-37.37
0.10,0.3267,-37.43
0.10,0.3218,-37.37
0.10,0.3209,-37.36
0.10,0.3259,-37.42
0.10,0.3251,-37.41
0.10,0.3234,-37.39
0.10,0.3259,-37.42
0.10,0.3209,-37.36
0.10,0.3259,-37.42
0.10,0.3317,-37.49
0.10,0.3267,-37.43
0.10,0.3284,-37.45
0.10,0.3333,-37.51
0.10,0.3284,-37.45
0.10,0.3267,-37.43
0.10,0.3325,-37.50
0.10,0.3275,-37.44
0.10,0.3259,-37.42
0.10,0.3308,-37.48
0.10,0.3226,-37.38
0.10,0.3185,-37.33
0.10,0.3242,-37.40
0.10,0.3292,-37.46
0.10,0.3242,-37.40
0.10,0.3292,-37.46
0.10,0.3251,-37.41
0.10,0.3234,-37.39
0.10,0.3284,-37.45
0.10,0.3242,-37.40
0.10,0.3259,-37.42
0.10,0.3275,-37.44
0.10,0.3333,-37.51
0.10,0.3284,-37.45
0.10,0.3267,-37.43
0.10,0.3317,-37.49
0.10,0.3399,-37.59
0.10,0.3317,-37.49
0.10,0.3300,-37.47
0.10,0.3350,-37.53
0.10,0.3267,-37.43
0.10,0.3218,-37.37
0.10,0.3209,-37.36
0.10,0.3259,-37.42
0.10,0.3218,-37.37
0.10,0.3168,-37.31
0.10,0.3160,-37.30
0.10,0.3218,-37.37
0.10,0.3168,-37.31
0.10,0.3160,-37.30
0.10,0.3119,-37.25
0.10,0.3209,-37.36
0.10,0.3259,-37.42
0.10,0.3218,-37.37
0.10,0.3234,-37.39
0.10,0.3292,-37.46
0.10,0.3242,-37.40
0.10,0.3193,-37.34
0.10,0.3185,-37.33
0.10,0.3234,-37.39
0.10,0.3193,-37.34
0.10,0.3152,-37.29
0.10,0.3135,-37.27
0.10,0.3193,-37.34
0.10,0.3152,-37.29
0.10,0.3144,-37.28
0.10,0.3201,-37.35
0.10,0.3251,-37.41
0.10,0.3209,-37.36
0.10,0.3193,-37.34
0.10,0.3251,-37.41
0.10,0.3201,-37.35
0.10,0.3193,-37.34
0.10,0.3275,-37.44
0.10,0.3234,-37.39
0.10,0.3185,-37.33
0.10,0.3177,-37.32
0.10,0.3234,-37.39
0.10,0.3185,-37.33
0.10,0.3177,-37.32
0.10,0.3160,-37.30
0.10,0.3218,-37.37
0.10,0.3144,-37.28
0.10,0.3168,-37.31
0.10,0.3218,-37.37
0.10,0.3177,-37.32
0.10,0.3103,-37.23
0.10,0.3127,-37.26
0.10,0.3185,-37.33
0.10,0.3135,-37.27
0.10,0.3094,-37.22
0.10,0.3086,-37.21
0.10,0.3185,-37.33
0.10,0.3103,-37.23
0.10,0.3127,-37.26
0.10,0.3185,-37.33
0.10,0.3144,-37.28
0.10,0.3135,-37.27
0.10,0.3193,-37.34
0.10,0.3144,-37.28
0.10,0.3070,-37.19
0.10,0.3062,-37.18
0.10,0.3127,-37.26
0.10,0.3086,-37.21
0.10,0.3078,-37.20
0.10,0.3037,-37.15
0.10,0.3094,-37.22
0.10,0.3062,-37.18
0.10,0.3086,-37.21
0.10,0.3078,-37.20
0.10,0.3168,-37.31
0.10,0.3127,-37.26
0.10,0.3119,-37.25
0.10,0.3177,-37.32
0.10,0.3135,-37.27
0.10,0.3094,-37.22
0.10,0.3119,-37.25
0.10,0.3209,-37.36
0.10,0.3160,-37.30
0.10,0.3152,-37.29
0.10,0.3144,-37.28
0.10,0.3234,-37.39
0.10,0.3185,-37.33
0.10,0.3177,-37.32
0.10,0.3234,-37.39
0.10,0.3284,-37.45
0.10,0.3234,-37.39
0.10,0.3259,-37.42
0.10,0.3308,-37.48
0.10,0.3226,-37.38
0.10,0.3185,-37.33
0.10,0.3168,-37.31
0.10,0.3226,-37.38
0.10,0.3185,-37.33
0.10,0.3168,-37.31
0.10,0.3259,-37.42
0.10,0.3341,-37.52
0.10,0.3325,-37.50
0.10,0.3375,-37.56
0.10,0.3292,-37.46
0.10,0.3308,-37.48
0.10,0.3391,-37.58
0.10,0.3341,-37.52
0.10,0.3325,-37.50
0.10,0.3341,-37.52
0.10,0.3424,-37.62
0.10,0.3333,-37.51
0.10,0.3350,-37.53
0.10,0.3399,-37.59
0.10,0.3350,-37.53
0.10,0.3333,-37.51
0.10,0.3416,-37.61
0.10,0.3325,-37.50
0.10,0.3275,-37.44
0.10,0.3259,-37.42
0.10,0.3350,-37.53
0.10,0.3300,-37.47
0.10,0.3284,-37.45
0.10,0.3267,-37.43
0.10,0.3317,-37.49
0.10,0.3234,-37.39
0.10,0.3226,-37.38
0.10,0.3275,-37.44
0.10,0.3325,-37.50
0.10,0.3275,-37.44
0.10,0.3267,-37.43
0.10,0.3350,-37.53
0.10,0.3267,-37.43
0.10,0.3251,-37.41
0.10,0.3300,-37.47
0.10,0.3259,-37.42
0.10,0.3275,-37.44
0.10,0.3292,-37.46
0.10,0.3375,-37.56
0.10,0.3325,-37.50
0.10,0.3308,-37.48
0.10,0.3358,-37.54
0.10,0.3308,-37.48
0.10,0.3325,-37.50
0.10,0.3375,-37.56
0.10,0.3292,-37.46
0.10,0.3308,-37.48
0.10,0.3358,-37.54
0.10,0.3275,-37.44
0.10,0.3226,-37.38
0.10,0.3251,-37.41
0.10,0.3300,-37.47
0.10,0.3218,-37.37
0.10,0.3209,-37.36
0.10,0.3193,-37.34
0.10,0.3284,-37.45
0.10,0.3234,-37.39
0.10,0.3218,-37.37
0.10,0.3275,-37.44
0.10,0.3358,-37.54
0.10,0.3275,-37.44
0.10,0.3259,-37.42
0.10,0.3350,-37.53
0.10,0.3259,-37.42
0.10,0.3218,-37.37
0.10,0.3168,-37.31
0.10,0.3226,-37.38
0.10,0.3185,-37.33
0.10,0.3168,-37.31
0.10,0.3193,-37.34
0.10,0.3251,-37.41
0.10,0.3201,-37.35
0.10,0.3193,-37.34
0.10,0.3242,-37.40
0.10,0.3300,-37.47
0.10,0.3251,-37.41
0.10,0.3234,-37.39
0.10,0.3292,-37.46
0.10,0.3209,-37.36
0.10,0.3193,-37.34
0.10,0.3251,-37.41
0.10,0.3201,-37.35
0.10,0.3193,-37.34
0.10,0.3119,-37.25
0.10,0.3111,-37.24
0.10,0.3168,-37.31
0.10,0.3218,-37.37
0.10,0.3242,-37.40
0.10,0.3292,-37.46
0.10,0.3209,-37.36
0.10,0.3234,-37.39
0.10,0.3284,-37.45
0.10,0.3242,-37.40
0.10,0.3160,-37.30
0.10,0.3152,-37.29
0.10,0.3209,-37.36
0.10,0.3160,-37.30
0.10,0.3152,-37.29
